,Performer,IAFD Link,Career scene #
0,David Strongwood,"<a href=""https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f"" target=""_blank"">https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f</a>",515
1,Buttplug Betty,"<a href=""https://www.iafd.com/person.rme/id=4f02f866-1454-40f5-94a2-4165031dc2bb"" target=""_blank"">https://www.iafd.com/person.rme/id=4f02f866-1454-40f5-94a2-4165031dc2bb</a>",175
2,Duke Skywalker,"<a href=""https://www.iafd.com/person.rme/id=ff1c172a-9beb-448e-863e-9725ada74b73"" target=""_blank"">https://www.iafd.com/person.rme/id=ff1c172a-9beb-448e-863e-9725ada74b73</a>",172
3,Gio,"<a href=""https://www.iafd.com/person.rme/id=30b095fe-8305-41b2-83f4-e744a00f361b"" target=""_blank"">https://www.iafd.com/person.rme/id=30b095fe-8305-41b2-83f4-e744a00f361b</a>",251
4,Ariel Blue,"<a href=""https://www.iafd.com/person.rme/id=c95834e4-3063-4733-88cb-d3b45c6c86de"" target=""_blank"">https://www.iafd.com/person.rme/id=c95834e4-3063-4733-88cb-d3b45c6c86de</a>",87
5,Rico Strong,"<a href=""https://www.iafd.com/person.rme/id=5f757ad0-04c5-4683-8712-53395d44fe88"" target=""_blank"">https://www.iafd.com/person.rme/id=5f757ad0-04c5-4683-8712-53395d44fe88</a>",1891
6,David Strongwood,"<a href=""https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f"" target=""_blank"">https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f</a>",515
7,Gio,"<a href=""https://www.iafd.com/person.rme/id=30b095fe-8305-41b2-83f4-e744a00f361b"" target=""_blank"">https://www.iafd.com/person.rme/id=30b095fe-8305-41b2-83f4-e744a00f361b</a>",251
8,Unknown Female 919314,"<a href=""https://www.iafd.com/person.rme/id=9f83d1c8-fa4c-4c4b-89bc-de6a8aed735b"" target=""_blank"">https://www.iafd.com/person.rme/id=9f83d1c8-fa4c-4c4b-89bc-de6a8aed735b</a>",5
9,David Strongwood,"<a href=""https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f"" target=""_blank"">https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f</a>",515
10,Unknown Female 1082625,"<a href=""https://www.iafd.com/person.rme/id=791e4f70-5d47-4b49-a253-a60bfc80fab4"" target=""_blank"">https://www.iafd.com/person.rme/id=791e4f70-5d47-4b49-a253-a60bfc80fab4</a>",1
11,Aurora,"<a href=""https://www.iafd.com/person.rme/id=c3bb127c-0e78-4736-b0c1-2af765bc8c40"" target=""_blank"">https://www.iafd.com/person.rme/id=c3bb127c-0e78-4736-b0c1-2af765bc8c40</a>",3
12,Sam Cox,"<a href=""https://www.iafd.com/person.rme/id=955c877f-b118-4c89-8e4b-470c398f6e49"" target=""_blank"">https://www.iafd.com/person.rme/id=955c877f-b118-4c89-8e4b-470c398f6e49</a>",125
13,David Strongwood,"<a href=""https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f"" target=""_blank"">https://www.iafd.com/person.rme/id=7cbea9a5-0903-4990-ae48-e9428d03b29f</a>",515
14,Riley Grey,"<a href=""https://www.iafd.com/person.rme/id=0f545c57-9a78-4840-9f7f-706799042d26"" target=""_blank"">https://www.iafd.com/person.rme/id=0f545c57-9a78-4840-9f7f-706799042d26</a>",11
