,Title,Doorway,Year,Link,Synopsis
0,12 Rounds of Punishment,facialabuse.com,2021,"<a href=""https://www.iafd.com/title.rme/id=224593fb-610b-4162-9be7-fc470d138e05"" target=""_blank"">https://www.iafd.com/title.rme/id=224593fb-610b-4162-9be7-fc470d138e05</a>","She went the distance, but boy did she take her lumps. She was wobbled a few times like Trevor Berbick, but she always got up off the canvas. She got both her holes fucked until they were sore, and her throat was drilled like an oil well. She made a mess--all over herself and everything else. She drank the yellow discipline like it was a can of of soda pop. She cleaned up her mess and sat down to take her humiliation across the face--3 giant loads, and we sent her home covered in cum."
1,13 Inches of Power,blackpayback.com,2018,"<a href=""https://www.iafd.com/title.rme/id=82294a1d-46de-4587-b8bd-3b8170713e09"" target=""_blank"">https://www.iafd.com/title.rme/id=82294a1d-46de-4587-b8bd-3b8170713e09</a>","Black power that is. Here we be standin as a people on Election Day for the middle terms and we still be dealin with the white devil holding us down like we were invited to a pool party at a crakkers house. And we all know what happens when black folk get invited to a pool party at a crakkers house. I converted this red hat wearin Edomite into a black cock lovin' Democrat, and I'm goin to breed her and take all that gubment cheese. Look at how messy this cave dweller is. She face fucked and fucked in her white girl asshole. She got got!!"
2,13 Years Later,ghettogaggers.com,2022,"<a href=""https://www.iafd.com/title.rme/id=7dce2977-32fd-428e-97c9-9dc3bf6b9ff0"" target=""_blank"">https://www.iafd.com/title.rme/id=7dce2977-32fd-428e-97c9-9dc3bf6b9ff0</a>","Sooner or later they all come back. She was just 18 years old her first time here, and as luck would have, she's back. She got wrecked this time more than the first. This time around she drank yellow discipline, and gulped the strange elixir down. Dicks were thrusting down her throat, and she was making a giant mess that covered her weeping face. Her pussy got slammed hard and she wasn't into it. That made us more into it. Her face got slathered in cum, 3 loads to be exact, and she didn't want to eat it, but she did what she was told."
3,18 and Owned,ghettogaggers.com,2019,"<a href=""https://www.iafd.com/title.rme/id=bbcfe04b-a6b7-474f-a6cc-323ce01113ae"" target=""_blank"">https://www.iafd.com/title.rme/id=bbcfe04b-a6b7-474f-a6cc-323ce01113ae</a>","Thank the lord for 18 year olds. In an age where no one wants to accept responsibly before the age of retirement, I appreciate a hot 18 year old Sub-Saharan getting throttled by a man with duct tape over the Nike logo on his sneakers. Nothing says 'Murica and Patriarchy as loudly as Ghetto Gaggers, but no need for thanks and applause. rShe took dick right down her throat like a pro and made a mess. It was gangsta. It's absolutely fantastic when an inexperienced girl tells you it burns when you are slamming her pussy. They are still too inexperienced to realize that burn is that pussy being destroyed. She was sat down and nutted on. Two huge loads. She ate every drop and then was antiqued properly."
4,18 Taking 12 Inches,ebonycumdumps.com,2019,"<a href=""https://www.iafd.com/title.rme/id=1001552e-7ce6-4209-b551-5893342639dc"" target=""_blank"">https://www.iafd.com/title.rme/id=1001552e-7ce6-4209-b551-5893342639dc</a>","For an 18 year old rookie, sucking a 12 inch dick is a lot. She's a lesbian so she doesn't suck dick in her personal life, but it's nice to see her doing it for money and to be honest, no one watched lesbian porn. So here's this lesbian, sucking on a huge dick and once he popped his load into her mouth, she dropped some and fell onto a rug. She wasn't getting off easy, so she was made to slurp it up off the rug and she swallowed the rest. "
5,19 And Abused,facialabuse.com,2019,"<a href=""https://www.iafd.com/title.rme/id=f8237d5d-b98b-402d-a2d8-73df0f8c1005"" target=""_blank"">https://www.iafd.com/title.rme/id=f8237d5d-b98b-402d-a2d8-73df0f8c1005</a>","Lately we've been blessed with high quality tail looking for some discipline—both actual discipline, and yellow discipline. So she got the back of my hand and the contents of my bladder. She got fucked nice and hard by Bootleg and Sam. Boots made her purge via thrusting in her deep and hard in her throat, and Sams giant Scud Missile dick beat the fuck out of her cervix. She squealed like a ferrel pig. It got emotional for a bit and dredged up some history, but she hung in there, turning her body and mind into a vessel of pleasure. She fulfilled her female purpose of taking cum and being a warm, wet hole for stiff cocks. She was a very good girl today."
6,19 And Already A Hoe,blackpayback.com,2021,"<a href=""https://www.iafd.com/title.rme/id=48faaa5c-b3d1-41ad-828c-95135e7b280e"" target=""_blank"">https://www.iafd.com/title.rme/id=48faaa5c-b3d1-41ad-828c-95135e7b280e</a>","You read that right. 19 years old and already she belong to da streets. Her daddy need his ass whooped. This bitch got some good pussyhole, but no tootsie roll. Thotty was basic as fuck. If she think she gon get some type of fame off this ish, she dead wrong like Big layin in Pac grave. She got yakked, fucked, nutted on an finished off wit some home brew mountain dew. Nasty bitch. You'll never go platinum. "
7,19 And Destroyed,facialabuse.com,2020,"<a href=""https://www.iafd.com/title.rme/id=bc2141f7-0a26-4656-a977-217cb761ef84"" target=""_blank"">https://www.iafd.com/title.rme/id=bc2141f7-0a26-4656-a977-217cb761ef84</a>","When they come in still innocent and bubbly, you know it's going to be a fun night. She inhaled the dick and spewed all over. She was a total mess. I cleaned off her face with a warm stream of yellow discipline. She got fucked nice and hard and deep that she tried to escape the thrusting by going on her tippy toes. Boots swept the leg. She was caused to take every inch of the dick until it was time for her to take 2 nuts on her face. She walked down the corridor of woe, shaking."
8,19 And Loves White Dick,ghettogaggers.com,2022,"<a href=""https://www.iafd.com/title.rme/id=4e45db52-cd9d-4d53-847f-089e70b2bbaf"" target=""_blank"">https://www.iafd.com/title.rme/id=4e45db52-cd9d-4d53-847f-089e70b2bbaf</a>","When that white dick started to pump with pace, she was all over it like white on rice. She was all about it. She didn't like yellow discipline, but she drank it anyway like a good hood slut. She couldn't hold most of down and made a mess. She yaked all over the dick. It was down her throat the entire time. Bootleg stuffed his balled into her mouth and she flailed like a fish on a dock. They all nutted on her 19 year old face and she gobbled up all that white boy cum like gubment cheese."
9,19 Fresh Fuliginous Gets Bred By Her First Ever Yt,ghettogaggers.com,2023,"<a href=""https://www.iafd.com/title.rme/id=2dcb6935-e8aa-4e0d-b8fc-b4ce6280609b"" target=""_blank"">https://www.iafd.com/title.rme/id=2dcb6935-e8aa-4e0d-b8fc-b4ce6280609b</a>","Not yet dry behind the ears, this 19 year old is here to get dicked down by the Pale Riders. They let her have it goot, as she whimpered like a petulant brat not getting her way. She drank yellow discipline and got that pouty mouth fucked as she was pullin a lawdy jeebus like some ish went down at waffle house again. She took that yt dick down her throat goot until she was messy, then she got fucked with an NB sneaker pressing on her head because we boycotted Nike years ago. She tongued her first man ass and she was swirling her tongue around like she was doing the twist. The Vaccinated Vandal bred her good and deep to ensure another verboten limb his lineage tree, but she will get more gubment cheese. Then she took her first facial, 3 of them, as she sat there confused and covered in cum. She ate all of those tiny critters off her face like a spoonful of grits. She won't be fucked like this again for the rest of her life."
10,19 Stripped and Whipped,ghettogaggers.com,2023,"<a href=""https://www.iafd.com/title.rme/id=7bc4303d-0168-465c-b37b-4f3df7db168c"" target=""_blank"">https://www.iafd.com/title.rme/id=7bc4303d-0168-465c-b37b-4f3df7db168c</a>","This little ass eater took two big white dicks and was belted in the process. Her mouth was silky and her throat was apt to fuck. She got real messy when those balls began to bang off her chin. She would make this little yippy noises like a cowgirl when her face was getting fucked. She drank lots of YD because she was very obedient, and did what she was told, despite some sass when a belt hit that ass. She loved getting spit roasted, too. She sat down and 4 loads were splattered all over her face and you could tell that much cum had her on edge."
11,"19, Supple and Pliable",facialabuse.com,2019,"<a href=""https://www.iafd.com/title.rme/id=f3caf3ad-6135-4631-b95a-a032d6da31df"" target=""_blank"">https://www.iafd.com/title.rme/id=f3caf3ad-6135-4631-b95a-a032d6da31df</a>","Look at the tits on this nineteen year old. Brand new. They still have that new tit smell, too. She arrived, and I peered through my vast security network of camera and LED bulbs that transmit audio within the wave length, and I flipped to camera 2, then 3 for a close up. Here is a buxom blonde, more than 1/2 my age, and 1/2 my IQ, standing there like a deer in the headlights. My cock began to twitch some. Then I became fully erect, because I knew she was in over her head, and she still hadn't figured it out. She was taken in almost every position. Her compliance and obedience was impressive. It was like we had badges on and flash lights in her face. She just put her mouth on the first thing presented to her. She was shell shocked. The figure whore leg lock finished her off. Then she got fucked hard, and she was trying to fight it. So we slapped her in a headlock. That kept her from moving around. We proceeded to deep thrust into her pussy. Shrieks and moans came out of her mouth. It was a free for all. Then 3 loads hit her right on the forehead. She rolled her eyes to play off the humiliation, but this isn't our first rodeo."
12,2 Nasty Whores,blackpayback.com,2021,"<a href=""https://www.iafd.com/title.rme/id=74266d47-f18b-4e44-b47d-84eb7d997ad2"" target=""_blank"">https://www.iafd.com/title.rme/id=74266d47-f18b-4e44-b47d-84eb7d997ad2</a>","Aye for real…this the most nasty sh!t we ever did. We doubled up and put 2 of the nastiest bitches on camera together with Rich and OMG, these hoes went IN!!! It's a puke fest with these edomite cave beasts throwing up in each other mouths, lickin' man-ass and they OWN asses. We brought back snaggletoof, but we didn't let her near Rich dick with them vampire teef, so she was runnin' support. This gon be the best scene we ever put out. You ain't never seen 2 hoes take dick like this. A gift for all my brothas out there since we found out they set Cosby free. Enjoy it. "
13,20 Years Old and Her First White Dick,ghettogaggers.com,2022,"<a href=""https://www.iafd.com/title.rme/id=80474b47-1f40-4b4b-9a69-1fd1a26ee915"" target=""_blank"">https://www.iafd.com/title.rme/id=80474b47-1f40-4b4b-9a69-1fd1a26ee915</a>",Her momma forbade her to go white. Right away she was drinking the white mans yellow discipline. Then she began eating the white mans ass. She got turned upside down and a dick was jammed down her throat and she spit up all over herself. Then that 20 year old tight pussy got rammed by that white dick. She put her thumb in her mouth as she drifted off into copeland. She took 3 loads to the face and had the whore bowl dumped on her head. She was not happy.
14,22 y.o. Eats 57 y.o. White Man Ass,ghettogaggers.com,2021,"<a href=""https://www.iafd.com/title.rme/id=ff3afdc4-b033-4b5f-80c4-9659e7fa2eb9"" target=""_blank"">https://www.iafd.com/title.rme/id=ff3afdc4-b033-4b5f-80c4-9659e7fa2eb9</a>","It's a great headline. Bootleg spreads his cheeks and she was all up in there tasting brekkie. She got DP'd and screamed from the big hard white dicks. Her colon was plugged up worse than John Wayne's--but instead of beef, it was the other white meat. She shrieked like an autist with every deep thrust as the fish hooks were applied. Her pussy got fucked nice and good, but we stayed Ass Heavy so she'd walk like a cow girl come the dawn. They smacked those supple black ass cheeks as she dissociated and sucked her thumb. She drank plenty of yellow discipline, and 3 giant loads were dumped on her face."
15,4 Degrading Facials,facialabuse.com,2021,"<a href=""https://www.iafd.com/title.rme/id=032789d4-dea4-4258-8b35-7d73039bda43"" target=""_blank"">https://www.iafd.com/title.rme/id=032789d4-dea4-4258-8b35-7d73039bda43</a>","We added a 4th load. This beautiful Asian took every humiliating drop like she was created to do. She has purpose. Her life path is please. She has a beautiful rack, too. She was DP'd in her tight Asian holes with fat white dick. She drank yellow discipline like she was on one Mao's breadlines. She enjoyed it, too. She got slapped around until sum ting wong, and then she looked all sad. The 4 loads were applied, and the whore bowl was dumped on her head."
